source,subject
61980CJ0124,Fisheries policy
61980CJ0124,Environment
61980CJ0124,Agriculture and Fisheries
61979CJ0804,Environment
61979CJ0804,Agriculture and Fisheries
61979CJ0804,Fisheries policy
61979CJ0804,Accession
61979CJ0812,External relations
61979CJ0812,Accession
61979CJ0812,Fisheries policy
61979CJ0812,Agriculture and Fisheries
61979CJ0032,Environment
61979CJ0032,Agriculture and Fisheries
61979CJ0032,Fisheries policy
61979CJ0032,Accession
61978CJ0141,Environment
61978CJ0141,Fisheries policy
61978CJ0141,Accession
61978CJ0141,Agriculture and Fisheries
61978CJ0232,Charges having an equivalent effect
61978CJ0232,Free movement of goods
61978CJ0232,Sheepmeat and goatmeat
61978CJ0232,Customs Union
61978CJ0232,Agriculture and Fisheries
61978CJ0232,Accession
61978CJ0185,Agriculture and Fisheries
61978CJ0185,Accession
61978CJ0185,Fisheries policy
61978CJ0185,Environment
61978CJ0231,Quantitative restrictions
61978CJ0231,Potatoes
61978CJ0231,Agriculture and Fisheries
61978CJ0231,Accession
61978CJ0231,Free movement of goods
61978CJ0118,Potatoes
61978CJ0118,Accession
61978CJ0118,Free movement of goods
61978CJ0118,Agriculture and Fisheries
61978CJ0118,Quantitative restrictions
61978CJ0083,Agriculture and Fisheries
61978CJ0083,Accession
61978CJ0083,Measures having equivalent effect
61978CJ0083,Quantitative restrictions
61978CJ0083,Pigmeat
61978CJ0083,Free movement of goods
61978CJ0083,State monopolies of a commercial character
61978CJ0093,Provisions governing the Institutions
61978CJ0093,Accession
61978CJ0006,Cereals
61978CJ0006,Agriculture and Fisheries
61978CJ0006,Accession compensatory amounts
61978CJ0006,Accession
61977CJ0061,External relations
61977CJ0061,Accession
61977CJ0061,Fisheries policy
61977CJ0061,Agriculture and Fisheries
61977CJ0088,Agriculture and Fisheries
61977CJ0088,Fisheries policy
61977CJ0088,Accession
61977CJ0088,External relations
61976CJ0012,Brussels Convention of 27 September 1968
61976CJ0012,Accession
61976CJ0012,Brussels Convention of 27 September 1968 - Jurisdiction
61976CJ0003,Agriculture and Fisheries
61976CJ0003,Fisheries policy
61976CJ0003,Free movement of goods
61976CJ0003,External relations
61976CJ0003,Accession
61976CJ0003,Measures having equivalent effect
61976CJ0003,Quantitative restrictions
61975CJ0097,Staff regulations and employment conditions - EC
61975CJ0097,Accession
61973CJ0169,Non-contractual liability
61973CJ0169,Accession compensatory amounts
61973CJ0169,Accession
61973CJ0169,Agriculture and Fisheries
61973CJ0169,Cereals
61974CJ0015,Patents
61974CJ0015,Intellectual; industrial and commercial property
61974CJ0015,Competition
61974CJ0015,Free movement of goods
61974CJ0015,Agreements; decisions and concerted practices
61974CJ0015,Accession
61974CJ0016,Intellectual; industrial and commercial property
61974CJ0016,Competition
61974CJ0016,Free movement of goods
61974CJ0016,Accession
61974CJ0016,Agreements; decisions and concerted practices
61973CJ0185,Agriculture and Fisheries
61973CJ0185,Alcohol
61973CJ0185,Accession
61973CJ0185,Free movement of goods
61973CJ0185,Customs Union
61973CJ0185,Common customs tariff
61973CJ0151,Agriculture and Fisheries
61973CJ0151,Accession
61973CJ0151,Accession compensatory amounts
61973CJ0151,Fruit and vegetables
62016CJ0244,Agriculture and Fisheries
62016CJ0384,Agriculture and Fisheries
62016CJ0384,Plant health legislation
62015CJ0433,Agriculture and Fisheries
62015CJ0433,Milk products
62016CJ0516,Processed fruit and vegetables
62016CJ0516,Agriculture and Fisheries
62016CJ0516,Fruit and vegetables
62016CJ0492,Approximation of laws
62016CJ0492,Agriculture and Fisheries
62016CJ0492,Intellectual; industrial and commercial property
62016CJ0492,Plant health legislation
62016CJ0268,Agriculture and Fisheries
62016CJ0268,Environment
62016CJ0268,Fisheries policy
62016CJ0393,Agriculture and Fisheries
62015CJ0671,Competition
62015CJ0671,Agriculture and Fisheries
62016CJ0383,Agriculture and Fisheries
62016CJ0383,Veterinary legislation
62016CJ0383,Beef and veal
62016CJ0289,Consumer protection
62016CJ0289,Agriculture and Fisheries
62016CJ0289,Foodstuffs
62016CJ0183,Agriculture and Fisheries
62016CJ0183,Eggs and poultry
62016CJ0111,Consumer protection
62016CJ0111,Foodstuffs
62016CJ0111,Agriculture and Fisheries
62016CJ0111,Approximation of laws
62016CJ0111,public health
62016CJ0519,public health
62016CJ0519,Approximation of laws
62016CJ0519,Agriculture and Fisheries
62016CJ0279,Agriculture and Fisheries
62016CJ0279,European Agricultural Guidance and Guarantee Fund (EAGGF)
62016CJ0422,Agriculture and Fisheries
62016CJ0293,Plant health legislation
62016CJ0293,Agriculture and Fisheries
62016CJ0339,Agriculture and Fisheries
62016CJ0339,European Agricultural Guidance and Guarantee Fund (EAGGF)
62016CJ0337,European Agricultural Guidance and Guarantee Fund (EAGGF)
62016CJ0337,Agriculture and Fisheries
62016CJ0338,European Agricultural Guidance and Guarantee Fund (EAGGF)
62016CJ0338,Agriculture and Fisheries
62016CJ0315,Agriculture and Fisheries
62016CJ0315,Environment
62015CJ0141,Agriculture and Fisheries
62015CJ0141,Eggs and poultry
62015CJ0141,Monetary measures in the field of agriculture
62015CJ0141,Fundamental rights
62016CJ0105,Agriculture and Fisheries
62016CJ0105,European Agricultural Guidance and Guarantee Fund (EAGGF)
62015CJ0584,Agriculture and Fisheries
62015CJ0584,Financial provisions
62015CJ0584,Own resources
62015CJ0585,Sugar
62015CJ0585,Agriculture and Fisheries
62015CJ0506,European Agricultural Guidance and Guarantee Fund (EAGGF)
62015CJ0506,Agriculture and Fisheries
62015CJ0373,European Agricultural Guidance and Guarantee Fund (EAGGF)
62015CJ0373,Agriculture and Fisheries
62015CJ0282,public health
62015CJ0282,Foodstuffs
62015CJ0282,Agriculture and Fisheries
62015CJ0282,Consumer protection
62015CJ0128,Fisheries policy
62015CJ0128,Agriculture and Fisheries
62016CJ0104,Agriculture and Fisheries
62016CJ0104,External relations
62016CJ0104,Association Agreement
62015CJ0644,Agriculture and Fisheries
62015CJ0644,Fruit and vegetables
62013CJ0673,Plant health legislation
62013CJ0673,Provisions governing the Institutions
62013CJ0673,Agriculture and Fisheries
62013CJ0673,Access to documents
62014CJ0442,Plant health legislation
62014CJ0442,Agriculture and Fisheries
62014CJ0442,Fruit and vegetables
62015CJ0177,Foodstuffs
62015CJ0177,Approximation of laws
62015CJ0177,Agriculture and Fisheries
62015CJ0177,Consumer protection
62014CJ0113,Agriculture and Fisheries
62014CJ0469,Agriculture and Fisheries
62014CJ0469,Beef and veal
62015CJ0134(01),Agriculture and Fisheries
62015CJ0134(01),Eggs and poultry
62015CJ0111,Agriculture and Fisheries
62015CJ0210,Agriculture and Fisheries
62015CJ0210,European Agricultural Guidance and Guarantee Fund (EAGGF)
62015CJ0416,Dumping
62015CJ0416,Agriculture and Fisheries
62015CJ0416,External relations
62015CJ0416,Commercial policy
62015CJ0096,Sugar
62015CJ0096,Agriculture and Fisheries
62014CJ0361,Fisheries policy
62014CJ0361,Agriculture and Fisheries
62016CJ0078,Plant health legislation
62016CJ0078,Agriculture and Fisheries
62014CJ0481,Agriculture and Fisheries
62014CJ0481,Intellectual; industrial and commercial property
62015CJ0333,General provisions
62015CJ0333,Agriculture and Fisheries
62015CJ0273,Agriculture and Fisheries
62015CJ0273,European Agricultural Guidance and Guarantee Fund (EAGGF)
62014CJ0131,Fruit and vegetables
62014CJ0131,Commercial policy
62014CJ0131,External relations
62014CJ0131,Agriculture and Fisheries
62015CJ0112,Approximation of laws
62015CJ0112,Agriculture and Fisheries
62015CJ0112,public health
62015CJ0026,Agriculture and Fisheries
62015CJ0075,Alcohol
62015CJ0075,Agriculture and Fisheries
62015CJ0075,Approximation of laws
62014CJ0333,Quantitative restrictions
62014CJ0333,Agriculture and Fisheries
62014CJ0333,Free movement of goods
62015CJ0058,public health
62015CJ0058,Approximation of laws
62015CJ0058,Agriculture and Fisheries
62014CJ0330,General provisions
62014CJ0330,Wine
62014CJ0330,Agriculture and Fisheries
62014CJ0132,French overseas departments
62014CJ0132,Agriculture and Fisheries
62014CJ0132,public health
62014CJ0301,Veterinary legislation
62014CJ0301,Agriculture and Fisheries
62013CJ0124,Fisheries policy
62013CJ0124,Agriculture and Fisheries
62014CJ0103,Agriculture and Fisheries
62014CJ0103,Accession
62014CJ0059,Financial provisions
62014CJ0059,Agriculture and Fisheries
62014CJ0059,Own resources
62013CJ0455,Agriculture and Fisheries
62013CJ0607,Own resources
62013CJ0607,Financial provisions
62013CJ0607,Agriculture and Fisheries
62013CJ0607,Bananas
62013CJ0422,Agriculture and Fisheries
62013CJ0684,Agriculture and Fisheries
62013CJ0684,General provisions
62014CJ0242,Agriculture and Fisheries
62014CJ0242,Intellectual; industrial and commercial property
62013CJ0293,Competition
62013CJ0293,Concerted practices
62013CJ0293,Agriculture and Fisheries
62013CJ0293,Agreements; decisions and concerted practices
62013CJ0293,Bananas
62014CJ0051,Agriculture and Fisheries
62014CJ0051,Sugar
62012CJ0546,Plant varieties
62012CJ0546,Agriculture and Fisheries
62012CJ0546,Intellectual; industrial and commercial property
62013CJ0456,Agriculture and Fisheries
62013CJ0424,Agriculture and Fisheries
62013CJ0286,Concerted practices
62013CJ0286,Agriculture and Fisheries
62013CJ0286,Competition
62013CJ0286,Bananas
62013CJ0286,Agreements; decisions and concerted practices
62013CJ0498,Agricultural structures
62013CJ0498,Environment
62013CJ0498,Agriculture and Fisheries
62013CJ0306,External relations
62013CJ0306,Fruit and vegetables
62013CJ0306,Commercial policy
62013CJ0306,Bananas
62013CJ0306,Quotas - third countries
62013CJ0306,Agriculture and Fisheries
62013CJ0306,General Agreement on Tariffs and Trade (GATT)
62013CJ0306,World Trade Organization
62013CJ0128,Agriculture and Fisheries
62013CJ0128,Monetary measures in the field of agriculture
62012CJ0103,Fisheries policy
62012CJ0103,Provisions governing the Institutions
62012CJ0103,Agriculture and Fisheries
62012CJ0103,Acts of the institutions
62013CJ0443,Agriculture and Fisheries
62013CJ0335,Agriculture and Fisheries
62013CJ0108,Agriculture and Fisheries
62013CJ0108,Measures having equivalent effect
62013CJ0108,Plant health legislation
62013CJ0108,Quantitative restrictions
62013CJ0108,Free movement of goods
62013CJ0610,Agriculture and Fisheries
62013CJ0610,European Agricultural Guidance and Guarantee Fund (EAGGF)
62013CJ0402,Veterinary legislation
62013CJ0402,Agriculture and Fisheries
62013CJ0402,public health
62013CJ0137,Agriculture and Fisheries
62013CJ0137,Consumer protection
62013CJ0453,Agriculture and Fisheries
62013CJ0453,public health
62013CJ0387,Agriculture and Fisheries
62013CJ0334,Agriculture and Fisheries
62013CJ0273,Agriculture and Fisheries
62013CJ0273,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CJ0417,Agriculture and Fisheries
62012CJ0417,European Agricultural Guidance and Guarantee Fund (EAGGF)
62013CJ0561,Agriculture and Fisheries
62013CJ0561,General provisions
62013CJ0012,Fisheries policy
62013CJ0012,Agriculture and Fisheries
62012CJ0611,Agriculture and Fisheries
62012CJ0611,Fisheries policy
62013CJ0565,General provisions
62013CJ0565,Agriculture and Fisheries
62013CJ0565,Fisheries policy
62012CJ0399,Agriculture and Fisheries
62012CJ0399,Wine
62012CJ0399,External relations
62013CJ0525,Agriculture and Fisheries
62013CJ0047,Agriculture and Fisheries
62013CJ0351,Eggs and poultry
62013CJ0351,Agriculture and Fisheries
62013CJ0410,European Regional Development Fund (ERDF)
62013CJ0410,economic; social and territorial cohesion
62013CJ0410,Agriculture and Fisheries
62013CJ0410,Fisheries policy
62013CJ0391,Agriculture and Fisheries
62013CJ0391,European Agricultural Guidance and Guarantee Fund (EAGGF)
62013CJ0011,Plant health legislation
62013CJ0011,Agriculture and Fisheries
62013CJ0011,Approximation of laws
62013CJ0011,Patents
62013CJ0011,Intellectual; industrial and commercial property
62011CJ0578,Agriculture and Fisheries
62011CJ0578,Competition
62011CJ0578,Tobacco
62011CJ0578,Agreements; decisions and concerted practices
62013CJ0105,Agriculture and Fisheries
62013CJ0339,Agriculture and Fisheries
62013CJ0056,Agriculture and Fisheries
62013CJ0056,Charter of Fundamental Rights
62013CJ0056,public health
62013CJ0056,Non-contractual liability
62013CJ0056,Principles; objectives and tasks of the Treaties
62013CJ0056,Veterinary legislation
62013CJ0056,Eggs and poultry
62013CJ0056,Fundamental rights
62013CJ0135,Agriculture and Fisheries
62013CJ0035,Agriculture and Fisheries
62012CJ0485,Agriculture and Fisheries
62013CJ0155,Agriculture and Fisheries
62013CJ0155,Fruit and vegetables
62013CJ0155,Commercial policy
62013CJ0155,External relations
62012CJ0396,Agriculture and Fisheries
62012CJ0396,Animal feedingstuffs
62013CJ0031,Agriculture and Fisheries
62013CJ0031,Wine
62011CJ0500,Fruit and vegetables
62011CJ0500,Agriculture and Fisheries
62011CJ0500,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CJ0187,Sugar
62012CJ0187,Agriculture and Fisheries
62012CJ0547,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CJ0547,Agriculture and Fisheries
62012CJ0101,Agriculture and Fisheries
62012CJ0101,Charter of Fundamental Rights
62012CJ0101,Fundamental rights
62012CJ0210,Patents
62012CJ0210,Agriculture and Fisheries
62012CJ0210,Approximation of laws
62012CJ0210,Intellectual; industrial and commercial property
62012CJ0210,Plant health legislation
62012CJ0298,Agriculture and Fisheries
62011CJ0373,Tobacco
62011CJ0373,Agriculture and Fisheries
62012CJ0434,Agriculture and Fisheries
62012CJ0099,Monetary measures in the field of agriculture
62012CJ0099,Agriculture and Fisheries
62012CJ0211,Agriculture and Fisheries
62012CJ0093,Overseas countries and territories
62012CJ0093,Fundamental rights
62012CJ0093,Agriculture and Fisheries
62012CJ0093,Charter of Fundamental Rights
62012CJ0149,Agriculture and Fisheries
62012CJ0149,Plant health legislation
62011CJ0671,European Agricultural Guidance and Guarantee Fund (EAGGF)
62011CJ0671,Agriculture and Fisheries
62012CJ0003,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CJ0003,Agriculture and Fisheries
62011CJ0401,European Agricultural Guidance and Guarantee Fund (EAGGF)
62011CJ0401,Agriculture and Fisheries
62011CJ0636,Consumer protection
62011CJ0636,Foodstuffs
62011CJ0636,Agriculture and Fisheries
62011CJ0636,public health
62011CJ0545,Agriculture and Fisheries
62009CJ0460,Agriculture and Fisheries
62009CJ0460,Non-contractual liability
62011CJ0454,European Agricultural Guidance and Guarantee Fund (EAGGF)
62011CJ0454,Agriculture and Fisheries
62011CJ0623,External relations
62011CJ0623,Agriculture and Fisheries
62011CJ0623,Food aid
62010CJ0534,Plant varieties
62010CJ0534,Agriculture and Fisheries
62010CJ0534,Intellectual; industrial and commercial property
62012CJ0011,Agriculture and Fisheries
62011CJ0670,Agriculture and Fisheries
62011CJ0670,Wine
62011CJ0670,Financial provisions
62011CJ0670,Own resources
62011CJ0562,Beef and veal
62011CJ0562,Agriculture and Fisheries
62011CJ0562,Monetary measures in the field of agriculture
62011CJ0056,Agriculture and Fisheries
62011CJ0056,Intellectual; industrial and commercial property
62011CJ0056,Plant varieties
62011CJ0131,Sugar
62011CJ0131,Agriculture and Fisheries
62011CJ0592,Agriculture and Fisheries
62011CJ0037,Agriculture and Fisheries
62011CJ0390,Agriculture and Fisheries
62011CJ0390,Sugar
62011CJ0669,Own resources
62011CJ0669,Agriculture and Fisheries
62011CJ0669,Financial provisions
62011CJ0669,Wine
62010CJ0113,Sugar
