source,target
61959CJ0042,61958CJ0032
61961CJ0014,61958CJ0032
61961CJ0017,61958CJ0032
61961CJ0019,61958CJ0032
61962CJ0036,61958CJ0032
61985CJ0081,61958CJ0032
61997CJ0310,61958CJ0032
61961CJ0017,61958CJ0042
61999CJ0334,61959CJ0014
61959CJ0046,61959CJ0023
61960CJ0001,61959CJ0023
61994CJ0018,61959CJ0030
61997CJ0006,61959CJ0030
61997CJ0200,61959CJ0030
61998CJ0390,61959CJ0030
62000CJ0074,61959CJ0030
62000CJ0501,61959CJ0030
62001CJ0005,61959CJ0030
62002CJ0276,61959CJ0030
62003CJ0128,61959CJ0030
62009CJ0028,61959CJ0030
61983CJ0183,61959CJ0031
61961CJ0014,61959CJ0042
61961CJ0019,61959CJ0042
61963CJ0111,61959CJ0042
61964CJ0050,61959CJ0042
61983CJ0103,61959CJ0042
61983CJ0151,61959CJ0042
61995CJ0090,61959CJ0042
61997CJ0310,61959CJ0042
61999CJ0480,61959CJ0042
61960CJ0025,61959CJ0043
61960CJ0025,61959CJ0044
62009CJ0197,61959CJ0044
62001CJ0296,61959CJ0046
62004CJ0255,61959CJ0046
62004CJ0501,61959CJ0046
61997CO0151,61959CO0025
61982CJ0001,61960CJ0006
61998CJ0229,61960CJ0006
62002CJ0201,61960CJ0006
62003CO0206,61960CJ0006
62010CJ0558,61960CJ0006
62014CJ0349,61960CJ0006
62014CO0581,61960CJ0006
61983CJ0036,61960CJ0009
61988CJ0330,61960CJ0019
61995CJ0071,61960CJ0019
62006CO0129,61960CJ0019
62007CO0107,61960CJ0019
62012CJ0382,61960CJ0019
62009CJ0197,61960CJ0025
61982CJ0238,61961CJ0007
61983CJ0288,61961CJ0007
61984CJ0103,61961CJ0007
61979CJ0812,61961CJ0010
61982CJ0278,61961CJ0010
61983CJ0041,61961CJ0010
61987CJ0235,61961CJ0010
61984CJ0209,61961CJ0013
61981CJ0014,61961CJ0014
61995CJ0090,61961CJ0014
61983CJ0250,61961CJ0017
61999CJ0462,61961CJ0017
61985CJ0081,61961CJ0021
61963CJ0073,61962CJ0002
61979CJ0061,61962CJ0002
61980CJ0142,61962CJ0002
62017CJ0305,61962CJ0002
61987CJ0097,61962CJ0005
61979CO0060,61962CJ0016
61986CO0117,61962CJ0016
61986CO0117(01),61962CJ0016
61964CJ0014,61962CJ0018
61981CJ0014,61962CJ0024
61982CJ0011,61962CJ0025
61982CJ0231,61962CJ0025
61984CJ0169,61962CJ0025
61984CJ0175,61962CJ0025
61985CJ0067,61962CJ0025
61985CJ0097,61962CJ0025
61987CJ0206,61962CJ0025
61988CO0191(01),61962CJ0025
61989CJ0104(01),61962CJ0025
61989CJ0309,61962CJ0025
61995CO0270,61962CJ0025
61998CJ0015,61962CJ0025
61998CJ0451,61962CJ0025
61998CJ0452,61962CJ0025
62000CJ0298,61962CJ0025
62000CO0341,61962CJ0025
62000CO0345,61962CJ0025
62003CJ0078,61962CJ0025
62004CO0367,61962CJ0025
62005CJ0075,61962CJ0025
62006CJ0125,61962CJ0025
62006CJ0176,61962CJ0025
62006CJ0362,61962CJ0025
62006CJ0373,61962CJ0025
62006CJ0487,61962CJ0025
62007CJ0319,61962CJ0025
62007CO0483,61962CJ0025
62008CO0444,61962CJ0025
62009CJ0343,61962CJ0025
62011CJ0583,61962CJ0025
62013CJ0456,61962CJ0025
62014CJ0191,61962CJ0025
62014CO0541,61962CJ0025
62014CO0563,61962CJ0025
62016CJ0384,61962CJ0025
62017CJ0207,61962CJ0025
61962CJ0028,61962CJ0026
61963CJ0073,61962CJ0026
61989CJ0100,61962CJ0026
61991CJ0017,61962CJ0026
61991CJ0114,61962CJ0026
61991CJ0144,61962CJ0026
61999CJ0453,61962CJ0026
62017CJ0234,61962CJ0026
61963CJ0073,61962CJ0028
61995CJ0337,61962CJ0028
62000CJ0099,61962CJ0028
62006CJ0002,61962CJ0028
62009CJ0045,61962CJ0028
62015CJ0268,61962CJ0028
62006CJ0497,61962CJ0036
61997CO0151,61962CO0016
61962CO0025(01),61962CO0025
61965CJ0062,61963CJ0015
61985CJ0204,61963CJ0026
61963CJ0029(01),61963CJ0029
62015CJ0416,61963CJ0069
61963CJ0070(01),61963CJ0070
61964CJ0050,61963CJ0070
61964CJ0055,61963CJ0070
61965CJ0020,61963CJ0070
61981CO0009,61963CJ0070
61985CO0146(01),61963CJ0070
61981CO0009,61963CJ0070(01)
61985CO0146(01),61963CJ0070(01)
61981CJ0053,61963CJ0075
61986CJ0039,61963CJ0075
62004CJ0222,61963CJ0075
62017CJ0581,61963CJ0075
61977CJ0080,61963CJ0090
61992CJ0426,61963CJ0090
61994CJ0005,61963CJ0090
61995CJ0272,61963CJ0090
61996CJ0014,61963CJ0090
62010CJ0589,61963CJ0092
61983CJ0124,61963CJ0094
61964CJ0024,61963CJ0100
62007CJ0054,61963CJ0100
61985CJ0149,61963CJ0101
61966CJ0005,61963CJ0106
61966CJ0024(01),61963CJ0106
61966CJ0030,61963CJ0106
62006CJ0125,61963CJ0106
62007CO0483,61963CJ0106
61963CJ0110(01),61963CJ0110
61985CO0146(01),61963CJ0110
61985CO0146(01),61963CJ0110(01)
61981CJ0014,61963CJ0111
61997CO0151,61963CO0111
61973CJ0120,61964CJ0006
61973CJ0121,61964CJ0006
61973CJ0122,61964CJ0006
61973CJ0141,61964CJ0006
61984CJ0005,61964CJ0006
61985CJ0249,61964CJ0006
61992CJ0393,61964CJ0006
61994CJ0134,61964CJ0006
61994CJ0304,61964CJ0006
61995CJ0074,61964CJ0006
61997CJ0010,61964CJ0006
61997CJ0346,61964CJ0006
61998CJ0037,61964CJ0006
61998CJ0097,61964CJ0006
61999CJ0453,61964CJ0006
62000CJ0280,61964CJ0006
62012CJ0105,61964CJ0006
62017CJ0234,61964CJ0006
62017CJ0573,61964CJ0006
61987CJ0346,61964CJ0011
61993CJ0448,61964CJ0012
62001CJ0121,61964CJ0012
62007CJ0016,61964CJ0016
61985CJ0081,61964CJ0021
62003CJ0160,61964CJ0023
61964CJ0028(01),61964CJ0024
61965CJ0044,61964CJ0033
61964CJ0045(01),61964CJ0045
61989CJ0152,61964CJ0045
61991CJ0105,61964CJ0045
61995CJ0011,61964CJ0045
61978CJ0258,61964CJ0056
61982CJ0177,61964CJ0056
61983CJ0035,61964CJ0056
61984CJ0161,61964CJ0056
61987CJ0277,61964CJ0056
61987CJ0279,61964CJ0056
61992CJ0350,61964CJ0056
61999CJ0453,61964CJ0056
62001CJ0491,61964CJ0056
62007CJ0209,61964CJ0056
62012CJ0382,61964CJ0056
61995CO0181,61964CO0006
62007CO0073,61964CO0006
61964CJ0012,61964CO0012
61964CJ0027,61964CO0030
61997CO0151,61964CO0056
61965CO0009(01),61965CJ0009
61995CJ0347,61965CJ0010
61996CJ0028,61965CJ0010
61982CJ0064,61965CJ0016
61985CO0069,61965CJ0016
61965CJ0018(01),61965CJ0018
61966CO0029,61965CJ0018
61983CJ0069,61965CJ0018
62017CJ0617,61965CJ0018
61965CO0025,61965CJ0025
62017CJ0167,61965CJ0033
61965CJ0059,61965CJ0034
61992CJ0428,61965CJ0044
61996CJ0412,61965CJ0044
61999CJ0095,61965CJ0044
62008CJ0138,61965CJ0044
62008CJ0196,61965CJ0044
62014CJ0508,61965CJ0044
62015CJ0416,61965CJ0044
61992CO0029,61965CJ0048
62006CO0461,61965CJ0048
62012CJ0546,61965CJ0051
61979CJ0061,61965CJ0052
61967CJ0023,61965CJ0056
61977CJ0019,61965CJ0056
61978CJ0209,61965CJ0056
61979CJ0099,61965CJ0056
61982CJ0177,61965CJ0056
62007CJ0209,61965CJ0056
62012CJ0382,61965CJ0056
61967CJ0025,61965CJ0057
61967CJ0028,61965CJ0057
61974CJ0002,61965CJ0057
61975CJ0045,61965CJ0057
61995CJ0347,61965CJ0057
61996CJ0028,61965CJ0057
61998CJ0393,61965CJ0057
61979CJ0543,61965CJ0059
61979CJ0799,61965CJ0059
61979CO0532(01),61965CJ0059
61987CJ0346,61965CJ0059
61992CJ0393,61965CJ0061
61996CJ0054,61965CJ0061
61996CJ0160,61965CJ0061
61996CJ0416,61965CJ0061
61998CJ0195,61965CJ0061
61998CJ0200,61965CJ0061
62004CJ0259,61965CJ0061
62004CJ0506,61965CJ0061
62014CJ0203,61965CJ0061
61984CJ0246,61965CJ0062
61987CO0378,61965CO0002
62015CO0586(01),61965CO0025
61966CJ0024(01),61966CJ0005
61981CJ0093,61967CJ0001
61983CJ0227,61967CJ0004
61987CJ0346,61967CJ0004
62013CJ0687,61967CJ0005
61990CJ0302,61967CJ0009
62009CJ0345,61967CJ0011
62009CJ0345,61967CJ0012
61980CJ0161,61967CJ0016
61986CJ0058,61967CJ0017
61986CO0304,61967CJ0017
61988CJ0372,61967CJ0019
61997CJ0202,61967CJ0019
62002CJ0371,61967CJ0019
61996CJ0387,61967CJ0020
61979CJ0099,61967CJ0023
61989CJ0234,61967CJ0023
61992CJ0393,61967CJ0023
62003CO0552,61967CJ0023
61987CJ0035,61967CJ0024
61987CJ0053,61967CJ0024
61992CJ0049,61967CJ0024
61992CJ0350,61967CJ0024
61968CJ0029,61967CJ0025
61978CJ0168,61967CJ0027
61978CJ0169,61967CJ0027
61978CJ0171,61967CJ0027
61990CJ0163,61967CJ0027
61967CJ0025,61967CJ0028
61967CJ0034,61967CJ0028
61992CJ0236,61967CJ0028
61994CJ0246,61967CJ0028
61996CJ0213,61967CJ0028
61988CJ0047,61967CJ0031
62001CJ0383,61967CJ0031
61984CJ0146,61967CJ0033
61997CJ0010,61967CJ0034
61969CJ0013,61967CJ0035
61989CJ0338,61968CJ0004
62001CJ0208,61968CJ0004
61991CJ0015,61968CJ0006
61995CO0270,61968CJ0006
61971CJ0018,61968CJ0007
61979CJ0061,61968CJ0007
61985CJ0415,61968CJ0007
61985CJ0416,61968CJ0007
61992CJ0317,61968CJ0007
61998CJ0097,61968CJ0007
62005CJ0065,61968CJ0007
62010CJ0042,61968CJ0007
62017CJ0305,61968CJ0007
61980CJ0126,61968CJ0013
61984CJ0179,61968CJ0013
62003CJ0253,61968CJ0013
62003CJ0451,61968CJ0013
61978CJ0253,61968CJ0014
61983CJ0229,61968CJ0014
61983CJ0231,61968CJ0014
61986CJ0223,61968CJ0014
61992CJ0092,61968CJ0014
61992CJ0379,61968CJ0014
61996CJ0050,61968CJ0014
62000CJ0137,61968CJ0014
62017CJ0617,61968CJ0014
61970CJ0055,61968CJ0017
61982CJ0085,61968CJ0017
61976CJ0017,61968CJ0019
61995CO0181,61968CJ0019
61984CJ0229,61968CJ0023
61994CJ0191,61968CJ0023
61971CJ0043,61968CJ0024
61973CJ0034,61968CJ0024
61979CJ0061,61968CJ0024
61979CJ0811,61968CJ0024
61987CJ0018,61968CJ0024
62003CJ0072,61968CJ0024
62017CJ0305,61968CJ0024
62000CO0445,61968CJ0027
62010CJ0589,61968CJ0028
62009CJ0173,61968CJ0029
62014CO0581,61968CJ0029
61980CJ0023,61968CJ0032
62006CO0237,61968CJ0032
62003CJ0220,61968CO0002
62001CO0180,61968CO0027
61979CJ0061,61969CJ0002
61985CJ0193,61969CJ0002
61990CJ0163,61969CJ0002
61993CJ0363,61969CJ0002
61994CJ0036,61969CJ0002
62001CJ0030,61969CJ0002
62002CJ0293,61969CJ0002
62003CJ0072,61969CJ0002
62013CJ0254,61969CJ0002
62013CJ0254,61969CJ0003
61980CJ0197,61969CJ0004
61984CJ0281,61969CJ0004
61977CJ0019,61969CJ0005
61980CJ0100,61969CJ0005
61995CJ0007,61969CJ0005
61995CJ0008,61969CJ0005
61996CJ0306,61969CJ0005
62011CJ0226,61969CJ0005
61986CJ0057,61969CJ0006
61986CO0057,61969CJ0006
61995CJ0191,61969CJ0006
62000CJ0298,61969CJ0006
62000CJ0501,61969CJ0006
62015CJ0020,61969CJ0006
61977CJ0059,61969CJ0010
61979CJ0099,61969CJ0010
61999CJ0453,61969CJ0010
61988CJ0108,61969CJ0012
61983CJ0228,61969CJ0013
61999CJ0270,61969CJ0013
62010CJ0017,61969CJ0014
61980CJ0142,61969CJ0016
62009CJ0197,61969CJ0023
62017CJ0183,61969CJ0024
61992CJ0428,61969CJ0027
61999CJ0095,61969CJ0027
61981CJ0216,61969CJ0028
61999CJ0268,61969CJ0029
62003CJ0188,61969CJ0029
62005CJ0305,61969CJ0029
62006CJ0311,61969CJ0029
62008CJ0261,61969CJ0029
62008CJ0569,61969CJ0029
62009CJ0445,61969CJ0029
62011CJ0040,61969CJ0029
62012CJ0486,61969CJ0029
62014CJ0051,61969CJ0029
62016CJ0423,61969CJ0029
61981CJ0211,61969CJ0031
61983CJ0051,61969CJ0031
61985CJ0085,61969CJ0031
62002CJ0087,61969CJ0031
62003CJ0508,61969CJ0031
62005CJ0023,61969CJ0031
62007CJ0423,61969CJ0031
61999CJ0277,61969CJ0034
61984CJ0173,61969CJ0036
61979CJ0091,61969CJ0038
61979CJ0092,61969CJ0038
62006CJ0449,61969CJ0038
61982CJ0193,61969CJ0039
62010CJ0539,61969CJ0040
61978CJ0209,61969CJ0041
61990CJ0065,61969CJ0041
61992CJ0049,61969CJ0041
61992CJ0235,61969CJ0041
62002CJ0278,61969CJ0041
62008CJ0101,61969CJ0041
62010CJ0201,61969CJ0041
62014CJ0194,61969CJ0041
61989CJ0234,61969CJ0043
61972CJ0007,61969CJ0045
61976CJ0085,61969CJ0045
61979CJ0073,61969CJ0047
62001CJ0261,61969CJ0047
61973CJ0006,61969CJ0048
61980CJ0172,61969CJ0048
61982CJ0043,61969CJ0048
61985CJ0089,61969CJ0048
61987CJ0395,61969CJ0048
61988CJ0110,61969CJ0048
61989CJ0200,61969CJ0048
61992CJ0049,61969CJ0048
61995CJ0073,61969CJ0048
62008CJ0097,61969CJ0048
62012CJ0382,61969CJ0048
61993CJ0296,61969CJ0049
61973CJ0006,61969CJ0052
62000CJ0074,61969CJ0052
62000CJ0298,61969CJ0052
61973CJ0006,61969CJ0053
61997CJ0276,61969CJ0057
61997CJ0358,61969CJ0057
61997CJ0359,61969CJ0057
61995CO0010,61969CJ0064
61998CJ0060,61969CJ0068
62008CJ0385,61969CJ0068
62009CJ0168,61969CJ0068
61988CO0160,61969CJ0069
62010CJ0539,61969CJ0074
61985CJ0081,61969CJ0075
61979CJ0055,61969CJ0077
62007CJ0458,61969CJ0077
61970CJ0077,61970CJ0005
61971CJ0043,61970CJ0008
61973CJ0034,61970CJ0008
61985CJ0249,61970CJ0009
61987CJ0187,61970CJ0009
61989CJ0100,61970CJ0009
61991CJ0156,61970CJ0009
61970CJ0038,61970CJ0011
61983CJ0117,61970CJ0011
61985CJ0137,61970CJ0011
61985CJ0249,61970CJ0011
61986CO0117,61970CJ0011
61986CO0119,61970CJ0011
61987CJ0097,61970CJ0011
61990CJ0240,61970CJ0011
61991CJ0104,61970CJ0011
61992CJ0124,61970CJ0011
61992CJ0339,61970CJ0011
61993CJ0473,61970CJ0011
62001CJ0208,61970CJ0011
62006CJ0409,61970CJ0011
62010CJ0416,61970CJ0011
62011CJ0399,61970CJ0011
62013CJ0198,61970CJ0011
62013CJ0206,61970CJ0011
62013CJ0506,61970CJ0011
62015CJ0273,61970CJ0011
62017CJ0234,61970CJ0011
61975CJ0035,61970CJ0014
62003CO0206,61970CJ0014
61995CJ0068,61970CJ0015
61995CJ0076,61970CJ0018
61985CJ0249,61970CJ0020
61986CJ0252,61970CJ0020
61991CJ0047,61970CJ0020
61995CJ0294,61970CJ0021
61977CJ0061,61970CJ0022
61983CJ0294,61970CJ0022
61987CJ0187,61970CJ0022
61988CJ0366,61970CJ0022
61990CJ0303,61970CJ0022
61990CJ0312,61970CJ0022
61991CJ0181,61970CJ0022
61991CJ0316,61970CJ0022
61991CJ0325,61970CJ0022
61991CJ0327,61970CJ0022
61993CJ0135,61970CJ0022
61994CJ0025,61970CJ0022
61995CJ0057,61970CJ0022
61997CJ0348,61970CJ0022
61997CJ0443,61970CJ0022
61998CJ0467,61970CJ0022
61998CJ0468,61970CJ0022
61998CJ0469,61970CJ0022
61998CJ0471,61970CJ0022
61998CJ0472,61970CJ0022
61998CJ0475,61970CJ0022
61998CJ0476,61970CJ0022
62003CJ0138,61970CJ0022
62003CJ0208,61970CJ0022
62003CJ0266,61970CJ0022
62003CJ0433,61970CJ0022
62003CJ0459,61970CJ0022
62004CJ0027,61970CJ0022
62004CJ0354,61970CJ0022
62004CJ0355,61970CJ0022
62007CJ0045,61970CJ0022
62007CJ0370,61970CJ0022
62008CJ0533,61970CJ0022
62010CJ0463,61970CJ0022
62012CJ0063,61970CJ0022
62012CJ0370,61970CJ0022
62013CJ0066,61970CJ0022
61985CJ0249,61970CJ0023
61978CJ0230,61970CJ0025
61986CJ0046,61970CJ0025
61986CJ0291,61970CJ0025
61988CJ0016,61970CJ0025
61990CJ0240,61970CJ0025
61993CJ0296,61970CJ0025
61993CJ0417,61970CJ0025
62001CJ0208,61970CJ0025
62004CJ0154,61970CJ0025
62015CJ0696,61970CJ0025
61979CJ0006,61970CJ0029
62002CJ0409,61970CJ0029
61998CJ0223,61970CJ0030
62002CJ0414,61970CJ0030
62012CO0498,61970CJ0030
62012CO0499,61970CJ0030
62013CO0073,61970CJ0030
61992CJ0090,61970CJ0038
61997CJ0179,61970CJ0038
61992CJ0426,61970CJ0039
61970CO0040,61970CJ0040
61983CJ0170,61970CJ0040
61982CJ0345,61970CJ0041
61987CJ0354,61970CJ0041
61995CJ0064,61970CJ0041
61996CJ0386,61970CJ0041
61996CJ0391,61970CJ0041
61996CJ0403,61970CJ0041
61996CJ0404,61970CJ0041
61996CO0409,61970CJ0041
62007CO0503,61970CJ0041
61984CJ0123,61970CJ0048
62002CJ0170,61970CJ0059
61980CJ0161,61970CJ0061
61984CO0001,61970CJ0062
61996CJ0386,61970CJ0062
61996CJ0391,61970CJ0062
61996CJ0403,61970CJ0062
61996CJ0404,61970CJ0062
61992CJ0199,61970CJ0077
61992CJ0200,61970CJ0077
61992CJ0227,61970CJ0077
61992CJ0234,61970CJ0077
61992CJ0235,61970CJ0077
61992CJ0245,61970CJ0077
61993CJ0415,61970CJ0077
61986CJ0247,61970CJ0078
61989CJ0010,61970CJ0078
61992CJ0092,61970CJ0078
61992CJ0350,61970CJ0078
62011CJ0005,61970CJ0078
61983CJ0227,61970CJ0079
61999CJ0154,61970CJ0079
62007CO0501,61970CJ0079
62008CO0498,61970CJ0079
61977CJ0149,61970CJ0080
61997CJ0333,61970CJ0080
61999CJ0366,61970CJ0080
61996CO0116,61970CO0040
62007CO0309,61970CO0040
62009CO0345,61970CO0040
61977CJ0019,61971CJ0001
61980CJ0126,61971CJ0001
62011CJ0226,61971CJ0001
61971CJ0092,61971CJ0003
61980CJ0197,61971CJ0005
61983CJ0194,61971CJ0005
61984CJ0281,61971CJ0005
61988CJ0119,61971CJ0005
61990CJ0282,61971CJ0005
61993CO0257,61971CJ0005
61997CJ0175,61971CJ0007
61999CJ0083,61971CJ0007
61986CJ0166,61971CJ0008
61991CJ0015,61971CJ0008
62015CJ0596,61971CJ0008
61998CJ0237,61971CJ0009
61995CJ0242,61971CJ0010
62003CO0206,61971CJ0012
62003CO0206,61971CJ0013
62003CO0206,61971CJ0014
61971CJ0048,61971CJ0018
61973CJ0015,61971CJ0020
61977CJ0149,61971CJ0020
61982CJ0075,61971CJ0020
61980CJ0159,61971CJ0021
61977CJ0028,61971CJ0022
61980CJ0058,61971CJ0022
61980CJ0100,61971CJ0022
61987CJ0335,61971CJ0022
61996CJ0395,61971CJ0022
61999CJ0453,61971CJ0022
62012CJ0382,61971CJ0022
62014CJ0003,61971CJ0022
62014CJ0413,61971CJ0022
61976CJ0017,61971CJ0023
61999CJ0073,61971CJ0027
61979CJ0107,61971CJ0029
61971CJ0031(01),61971CJ0031
61971CO0031,61971CJ0031(01)
61973CJ0015,61971CJ0032
61988CJ0040,61971CJ0036
61988CJ0153,61971CJ0036
61993CJ0459,61971CJ0036
61994CJ0068,61971CJ0037
61997CJ0310,61971CJ0037
61979CJ0089,61971CJ0042
61991CJ0015,61971CJ0042
62014CO0327,61971CJ0042
61982CJ0199,61971CJ0043
61994CJ0125,61971CJ0043
62005CO0285,61971CJ0043
61978CJ0004,61971CJ0044
61982CJ0144,61971CJ0044
61985CJ0321,61971CJ0044
61985CJ0322,61971CJ0044
61987CJ0225,61971CJ0044
61990CO0126,61971CJ0044
61968CJ0007,61971CJ0048
61991CJ0101,61971CJ0048
62009CJ0239,61971CJ0048
61976CJ0068,61971CJ0051
61985CJ0194,61971CJ0051
62007CJ0428,61971CJ0051
62003CO0206,61971CJ0077
62013CO0082,61971CJ0080
61977CJ0088,61971CJ0082
61977CJ0070,61971CJ0084
61988CJ0214,61971CJ0084
61986CJ0140,61971CJ0088
61995CJ0294,61971CJ0088
61986CJ0111,61971CJ0090
61972CJ0039,61971CJ0093
62002CJ0278,61971CJ0093
62009CJ0523,61971CJ0093
61974CJ0055,61971CJ0094
61982CJ0205,61971CJ0094
61986CJ0089,61971CJ0094
61983CJ0249,61972CJ0001
61984CJ0122,61972CJ0001
61987CJ0186,61972CJ0001
61988CJ0324,61972CJ0002
61994CJ0297,61972CJ0005
61997CJ0435,61972CJ0005
61997CO0361,61972CJ0005
62000CJ0466,61972CJ0005
61987CJ0193,61972CJ0006
61988CJ0058,61972CJ0006
61996CJ0055,61972CJ0006
61996CJ0395,61972CJ0006
61997CJ0119,61972CJ0006
62004CJ0095,61972CJ0006
62003CJ0397,61972CJ0007
61982CJ0043,61972CJ0008
61989CJ0200,61972CJ0008
61996CJ0035,61972CJ0008
61999CJ0309,61972CJ0008
62004CJ0094,61972CJ0008
62008CJ0393,61972CJ0008
62014CJ0172,61972CJ0008
61980CJ0175,61972CJ0010
61981CJ0098,61972CJ0010
61979CJ0819,61972CJ0013
61981CJ0266,61972CJ0021
61981CJ0267,61972CJ0021
61987CJ0070,61972CJ0021
61992CJ0379,61972CJ0021
62006CJ0308,61972CJ0021
62008CJ0301,61972CJ0021
62008CJ0533,61972CJ0021
62010CJ0366,61972CJ0021
62006CJ0120,61972CJ0024
61981CJ0009,61972CJ0028
61996CJ0259,61972CJ0028
61975CJ0087,61972CJ0029
61976CJ0035,61972CJ0029
61976CJ0089,61972CJ0029
61979CJ0811,61972CJ0029
61979CJ0826,61972CJ0029
61982CJ0314,61972CJ0029
61983CJ0001,61972CJ0029
61989CJ0227,61972CJ0032
62007CO0501,61972CJ0033
62008CO0498,61972CJ0033
61979CJ0033,61972CJ0035
62009CJ0401,61972CJ0037
62015CJ0144,61972CJ0038
61978CJ0128,61972CJ0039
61983CJ0272,61972CJ0039
61984CJ0103,61972CJ0039
61984CJ0309,61972CJ0039
61985CJ0154,61972CJ0039
61987CJ0287,61972CJ0039
61999CJ0453,61972CJ0039
62008CJ0350,61972CJ0039
61972CJ0059,61972CJ0040
61993CJ0133,61972CJ0040
61983CJ0228,61972CJ0046
61977CJ0059,61972CJ0048
61993CJ0319,61972CJ0048
61999CJ0453,61972CJ0048
61988CJ0058,61972CJ0051
61974CJ0043,61972CJ0053
61979CJ0055,61972CJ0054
61994CJ0044,61972CJ0057
61995CJ0169,61972CJ0057
61996CJ0288,61972CJ0057
61995CJ0261,61972CJ0062
61995CO0181,61972CJ0062
62001CO0186,61972CJ0062
62006CJ0002,61972CJ0062
62007CO0073,61972CJ0062
62009CJ0391,61972CJ0062
61974CJ0056,61972CJ0063
61981CJ0106,61972CJ0063
61983CJ0052,61972CJ0070
61984CJ0052,61972CJ0070
62000CJ0074,61972CJ0070
62010CJ0364,61972CJ0070
61974CJ0094,61972CJ0077
61976CJ0077,61972CJ0077
61976CJ0105,61972CJ0077
61979CJ0061,61972CJ0077
61990CJ0078,61972CJ0077
61991CJ0017,61972CJ0077
61991CJ0114,61972CJ0077
61991CJ0144,61972CJ0077
61992CJ0428,61972CJ0078
61981CJ0292,61972CJ0080
61974CJ0070,61972CJ0081
61981CJ0059,61972CJ0081
62010CJ0040,61972CJ0081
61989CO0104,61972CO0006
61986CO0023,61972CO0075
61986CO0117,61972CO0075
61986CO0221(01),61972CO0075
61987CO0065,61972CO0075
61987CO0082,61972CO0075
61992CJ0332,61973CJ0002
61979CJ0119,61973CJ0003
61981CJ0146,61973CJ0003
61978CJ0154,61973CJ0004
61979CJ0044,61973CJ0004
61979CJ0136,61973CJ0004
61987CJ0097,61973CJ0004
61989CJ0260,61973CJ0004
61992CJ0350,61973CJ0004
62006CJ0120,61973CJ0004
62015CJ0072,61973CJ0004
61973CJ0154,61973CJ0005
61975CJ0055,61973CJ0005
61976CJ0118,61973CJ0005
61978CJ0098,61973CJ0005
61982CJ0281,61973CJ0005
61993CJ0133,61973CJ0005
61979CJ0022,61973CJ0006
61981CJ0210,61973CJ0006
61982CJ0007,61973CJ0006
61984CJ0311,61973CJ0006
61995CJ0279,61973CJ0006
61997CJ0007,61973CJ0006
62014CJ0231,61973CJ0006
61973CJ0154,61973CJ0009
61981CJ0267,61973CJ0009
61987CJ0070,61973CJ0009
61993CJ0280,61973CJ0009
61993CJ0469,61973CJ0009
61973CJ0154,61973CJ0010
62004CJ0353,61973CJ0012
62007CJ0138,61973CJ0012
62015CJ0570,61973CJ0013
61979CJ0158,61973CJ0015
61979CJ0737,61973CJ0015
